"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.278168561E0,-4.266786575E0,-3.153347492E0,3.523167610E0,6.368812927E0
1.282883509E0,-7.153218746E0,-2.705691814E0,4.016185760E0,8.638232151E0
1.287598457E0,-8.510396957E0,-1.881710529E0,3.459630013E0,9.377458649E0
1.292313405E0,-8.115888596E0,-1.507577896E0,-1.926291585E-1,8.256969468E0
1.297028353E0,-6.655653000E0,-1.211359978E0,-4.081112385E0,7.900670108E0
1.301743301E0,-4.956514359E0,-8.864574432E-1,-5.940451145E0,7.787284584E0
1.306458249E0,-3.126255035E0,-8.181557655E-1,-5.651889324E0,6.510507072E0
1.311173197E0,-1.753054380E0,-9.182043076E-1,-4.905269146E0,5.289420025E0
1.315888145E0,-1.001666546E0,-2.961888313E-1,-3.983056307E0,4.117742250E0
1.320603093E0,-8.908362389E-1,2.491521835E-1,-1.939908028E0,2.149164761E0
1.325318041E0,-1.690017223E0,-1.310781956E0,-1.174886107E0,2.440218211E0
1.330032989E0,-2.559094667E0,-3.686378956E0,4.731839895E-2,4.487827353E0
1.334747936E0,-2.903502941E0,-8.802571297E0,1.400961399E1,1.679835929E1
1.339462884E0,-1.722800016E0,-1.046986580E1,9.614106178E0,1.431842056E1
1.344177832E0,1.594543457E-1,-7.459084511E0,-1.500190544E1,1.675471678E1
1.348892780E0,1.408273220E0,-4.695664406E0,-1.588607502E1,1.662527826E1
1.353607728E0,1.007469654E0,-2.814283371E0,-1.120211601E1,1.159407561E1
1.358322676E0,-1.127705097E0,-2.694246292E0,-4.993398666E0,5.784869239E0
1.363037624E0,-1.966623306E0,-2.321168900E0,-7.349224687E-1,3.129783271E0
1.367752572E0,-2.316974163E0,-9.048204422E-1,2.626107216E0,3.617113271E0
1.372467520E0,-2.104339838E0,8.010764122E-1,4.161187172E0,4.731326268E0
1.377182468E0,-1.276744604E0,2.293049335E0,6.275178432E0,6.801912701E0
1.381897364E0,-4.255223274E-1,2.954916000E0,7.816046238E0,8.366790102E0
1.386612311E0,1.754224300E-1,3.317594528E0,5.810701370E0,6.693389044E0
1.391327259E0,6.912374496E-1,3.696100712E0,-3.274300098E-1,3.774411225E0
1.396042207E0,9.439775944E-1,3.580294609E0,-5.672302723E0,6.773818817E0
1.400757155E0,9.746763706E-1,3.339993000E0,-7.010227203E0,7.826163346E0
